ID,SAMPLE_NAME,INTERP,X_ED50,Y_ED50,X_WGS84,Y_WGS84,WATER_DEPTH,TERMINAL_DEPTH,PRIMARY_COMPONENT,GRAIN_SIZE,STRENGTH_DENSITY,SECONDARY_COMPONENT,NOTES,BED_TOP,BED_BASE
38,54+2/139/VE/1,,2.54822,54.04879,2.5468068,54.04804,43,2.5,Sand,,firm,"dark greyish muddy, with coarse chalk grains and shell fragments (boulder), low plasticity",,0.15,2.5
39,54+2/210/CS/1,,,54.005,2.7054222,54.0042504,43,0.3,,,,,,0,
40,54+2/211/CS/1,,,54.00333,2.6902619,54.0025801,45,0.5,Gravel,medium,,Sandy with shells,,0,0.05
40,54+2/211/CS/1,,2.69167,54.00333,2.6902619,54.0025801,45,0.5,Mud,,firm,"olive grey, Sandy (fine), loadstones (isolated clasts) up to coarse Sand size comprised mainly rounded chalk and rare red Siltstone. Calcareous and massive. Likely diamicton, low plasticity",base of boulders bank Fm,0.05,0.45
41,54+2/213/VE/1,,,54.00215,2.6909219,54.0014001,60,3.9000001,Mud,,very soft,"Sandy, medium grained to slightly coarse",olive grey,0,0.03
41,54+2/213/VE/1,,2.69233,54.00215,2.6909219,54.0014001,60,3.9000001,Sand,,very soft to soft,"muddy, shrinkage cracks suggest presence of gas, organic patches up to 15mm across (black organic content), intermediate to high plasticity",olive grey to dark grey,0.03,3.9
42,53+2/376/VE/1,,,53.98983,2.5485888,53.9890781,63,5.9000001,Mud,,,"Sandy with laminae of fine muddy Sand, very bioturbated throughout with burrows",,0,5.94
43,53+2/1515/VE/1,,,53.98417,2.5135881,53.9834175,64,5.0999999,Mud,,very soft,"small, 10cm samples every metre for 5.1m, soft mud to soft very fine Sandy mud to soft mud",olive grey,0,5.1
44,53+2/424/CR/1,,,53.977,2.662762,53.9762489,44,0.2,Sand,fine to medium,,"rare medium grained Gravel up to 1.5 cm, abundant fine to coarse shell debris and echinoid spines",brown,0,0.1
44,53+2/424/CR/1,,2.66417,53.977,2.662762,53.9762489,44,0.2,Clay,,very stiff,Sandy with ~5% rock fragments and sparse angular shell debris grey brown,unconfined compression strength ?9000psl,0.1,0.2
45,53+2/425/CR/1,,,53.97533,2.5535894,53.9745776,45,0.2,Sand,,,"very silty, grey-green, medium Gravel, large shell fragments",,0,0.1
45,53+2/425/CR/1,,2.555,53.97533,2.5535894,53.9745776,45,0.2,Clay,,stiff,"grey-green, very Gravelly (medium) white streaks within sample (likely chalk)",,0.1,0.2
46,54+2/123/VE/1,,,54.11732,2.7799204,54.1165749,46,3.4000001,Sand,fine to very fine,,"very muddy, moderately sorted subangular to subrounded olive grey",,0,0.6
46,54+2/123/VE/1,,2.78133,54.11732,2.7799204,54.1165749,46,3.4000001,Sand,,,"shelly, Gravelly, muddy",,0.6,0.7
46,54+2/123/VE/1,,2.78133,54.11732,2.7799204,54.1165749,46,3.4000001,Sand,very fine to fine,,,,0.7,3.37
47,54+2/448/VE/1,GDOC,,54.08117,2.7857617,54.0804238,64,4.1399999,Mud,,very soft to soft,slightly very fine Sandy,olive grey,0,4.14
48,54+2/124/CS/1,GDOC,,54.04839,2.7792926,54.0476426,0,1.6,Mud,,soft,silty,olive grey,0,1.6
49,54+2/208/CS/1,GDOC,,54.00233,2.7854243,54.0015812,44,0.4,Sand,fine to medium,,"Gravelly, shelly",dark grey to brown,0,0.2
49,54+2/208/CS/1,GDOC,2.78683,54.00233,2.7854243,54.0015812,44,0.4,Clay,,,"Sandy, Gravel (chalk, Sandstone clasts - till)",dark grey,0.2,0.37
50,54+2/209/CS/1,GDOC,,54.0015,2.7235927,54.0007504,49,0.4,Sand,fine to medium,,"slightly muddy, shelly",olive brown,0,0.2
50,54+2/209/CS/1,GDOC,2.725,54.0015,2.7235927,54.0007504,49,0.4,Sand,fine,,muddy,dark greyish brown,0.2,0.37
51,53+2/423/CR/1,GDOC,,53.98034,2.7909251,53.9795905,33,0.3,Sand,medium,,"Gravelly, shelly",brown,0,0.2
51,53+2/423/CR/1,GDOC,2.79233,53.98034,2.7909251,53.9795905,33,0.3,Clay,,very stiff,"Gravelly (chalk, limestone, Sandstone, mudstone - till)",reddish brown,0.2,0.3
52,54+2/50/CR/1,GDOC,,54.11833,2.3202488,54.1175797,62,0.1,Sand,very fine,,"silty, clayey",dark grey,0,0.1
53,54+2/143/CS/1,GDOC,,54.08306,2.3242801,54.0823086,0,1.2,Mud,,,Sandy (fine to medium),,0,0.1
53,54+2/143/CS/1,GDOC,2.3257,54.08306,2.3242801,54.0823086,0,1.2,Sand,,,"very muddy, shelly",olive grey,0.1,1.22
54,54+2/142/VE/1,GDOC,,54.11711,2.3282691,54.1163598,67,5.3000002,Mud,,,very Sandy,dark olive grey,0,3.57
54,54+2/142/VE/1,GDOC,2.32969,54.11711,2.3282691,54.1163598,67,5.3000002,Mud,,,slightly Sandy,dark olive grey,3.57,5.32
55,54+2/141/VE/1,GDOC,,54.02368,2.3243921,54.0229266,67,2.3,Sand,fine,,"very muddy, shelly",dark grey-brown,0,0.46
55,54+2/141/VE/1,GDOC,2.32581,54.02368,2.3243921,54.0229266,67,2.3,Gravel,,,"very coarse Sandy, shelly",,0.46,1.1
55,54+2/141/VE/1,GDOC,2.32581,54.02368,2.3243921,54.0229266,67,2.3,Sand,very fine to medium,,,"grey, poorly sorted",1.1,2.23
56,54+2/163/CS/1,GDOC,,54.05276,2.3277112,54.0520076,65,0.8,Sand,,,"very muddy, silty",olive grey,0,0.51
56,54+2/163/CS/1,GDOC,2.32913,54.05276,2.3277112,54.0520076,65,0.8,Gravel,,,shelly,,0.51,0.78
57,54+2/441/VE/1,GDOC,,54.12533,2.3334089,54.1245801,61,5.46,Sand,very fine,,muddy,dark olive grey,0,5.3
57,54+2/441/VE/1,GDOC,2.33483,54.12533,2.3334089,54.1245801,61,5.46,Mud,,,,olive,5.3,5.46
58,54+2/51/CR/1,GDOC,,54.0865,2.3360803,54.0857489,68,0.1,Sand,very fine to coarse,,"silty, muddy",dark greenish grey,0,0.1
59,54+2/54/CR/1,GDOC,,54.05333,2.3427516,54.0525778,71,0.1,Sand,fine to coarse,,muddy,,0,0.1
63,54+2/140/VE/1,GDOC,,54.05212,2.4258337,54.0513687,54,4.1999998,Sand,fine,,muddy,dark greyish brown,0,0.1
63,54+2/140/VE/1,GDOC,2.42725,54.05212,2.4258337,54.0513687,54,4.1999998,Sand,medium,,muddy to very muddy,dark greyish brown,0.1,3.85
63,54+2/140/VE/1,GDOC,2.42725,54.05212,2.4258337,54.0513687,54,4.1999998,Sand,coarse,,"shelly, Gravelly, muddy",,3.85,4.24
64,54+2/53/CR/1,GDOC,,54.05416,2.4359138,54.0534089,60,0.1,Sand,very fine to coarse,,muddy,dark greenish grey,0,0.1
65,54+2/162/CS/1,GDOC,,54.10961,2.4463723,54.1088609,62,1.5,Mud,,very soft,silty,greyish brown,0,0.89
65,54+2/162/CS/1,GDOC,2.44779,54.10961,2.4463723,54.1088609,62,1.5,Mud,,,"silty laminae, dark organic streaks",,0.89,1.45
66,54+2/446/VE/1,GDOC,,54.0835,2.4695837,54.0827503,70,4.25,Mud,,,very fine Sandy,dark olive grey,0,2.25
66,54+2/446/VE/1,GDOC,2.471,54.0835,2.4695837,54.0827503,70,4.25,Sand,fine,,,greenish grey,2.25,4.25
67,54+2/447/VE/1,GDOC,,54.05517,2.4799149,54.0544195,51,1.8,Sand,medium,,slightly shelly,light brown,0,0.1
67,54+2/447/VE/1,GDOC,2.48133,54.05517,2.4799149,54.0544195,51,1.8,Sand,fine,,,"light brown, well sorted",0.1,1.8
76,54+2/185/VE/1,GDOC,,54.05975,2.0982753,54.0589952,70,2.9000001,Sand,fine to coarse,,very muddy,"dark olive grey, poorly sorted",0,0.3
76,54+2/185/VE/1,GDOC,2.0997,54.05975,2.0982753,54.0589952,70,2.9000001,Gravel,,,shelly,,0.3,0.8
76,54+2/185/VE/1,GDOC,2.0997,54.05975,2.0982753,54.0589952,70,2.9000001,Gravel,,,"shelly, Sandy",,0.8,1.3
76,54+2/185/VE/1,GDOC,2.0997,54.05975,2.0982753,54.0589952,70,2.9000001,Clay,,,Gravelly,reddish brown (till),1.3,2.9
77,54+2/191/CS/1,GDOC,,54.087,2.125245,54.0862465,75,0.3,Sand,very fine,,"very muddy, shelly",greyish brown,0,0.3
78,54+2/186/VE/1,GDOC,,54.06359,2.1488264,54.0628359,68,0.9,Sand,fine,,muddy,dark greyish green,0,0.47
78,54+2/186/VE/1,GDOC,2.15025,54.06359,2.1488264,54.0628359,68,0.9,Gravel,,,"Sandy, muddy, shelly",reddish brown colouration,0.47,0.88
79,54+2/440/VE/1,GDOC,,54.12133,2.1722451,54.1205781,60,5.25,Sand,very fine,,muddy,olive,0,5.25
80,54+2/192/CS/1,GDOC,,54.07983,2.1700764,54.0790767,75,0.7,Sand,very fine,,muddy,dark greyish brown,0,0.74
81,54+2/193/CS/1,GDOC,,54.06217,2.172907,54.0614162,73,0.6,Sand,very fine,,muddy,dark greyish brown,0,0.3
81,54+2/193/CS/1,GDOC,2.17433,54.06217,2.172907,54.0614162,73,0.6,Sand,,,"Gravelly, muddy",light olive brown,0.3,0.5
81,54+2/193/CS/1,GDOC,2.17433,54.06217,2.172907,54.0614162,73,0.6,Clay,,firm,,very dark greyish brown (till),0.5,0.6
82,54+2/40/VE/1,GDOC,,54.08667,2.1994069,54.0859173,75,4,Sand,fine,,muddy,,0,2
82,54+2/40/VE/1,GDOC,2.20083,54.08667,2.1994069,54.0859173,75,4,Gravel,,,"shelly, Sandy",,2,2.3
82,54+2/40/VE/1,GDOC,2.20083,54.08667,2.1994069,54.0859173,75,4,Sand,fine,,silty mud (interbedded),,2.3,3.6
82,54+2/40/VE/1,GDOC,2.20083,54.08667,2.1994069,54.0859173,75,4,Sand,,,,,3.6,3.8
82,54+2/40/VE/1,GDOC,2.20083,54.08667,2.1994069,54.0859173,75,4,Clay,,,,,3.8,4
83,54+2/39/VE/1,GDOC,,54.07667,2.1994072,54.075917,76,3.2,Sand,very fine to fine,,muddy,,0,1.8
83,54+2/39/VE/1,GDOC,2.20083,54.07667,2.1994072,54.075917,76,3.2,Gravel,,,"shelly, Sandy",,1.8,2.1
83,54+2/39/VE/1,GDOC,2.20083,54.07667,2.1994072,54.075917,76,3.2,Sand,medium to very coarse,,"shelly, slightly Gravelly",,2.1,3.17
84,54+2/41/VE/1,GDOC,,54.09,2.2027469,54.0892474,72,3.5999999,Sand,fine,,"shelly, muddy",,0,1.43
84,54+2/41/VE/1,GDOC,2.20417,54.09,2.2027469,54.0892474,72,3.5999999,Gravel,,,"shelly, muddy, Sandy",,1.43,1.58
84,54+2/41/VE/1,GDOC,2.20417,54.09,2.2027469,54.0892474,72,3.5999999,Clay,,stiff,silty,,1.58,3.6
85,54+2/167/VE/1,GDOC,,54.07657,2.2055174,54.075817,75,2.9000001,Sand,fine,,,olive grey,0,0.6
85,54+2/167/VE/1,GDOC,2.20694,54.07657,2.2055174,54.075817,75,2.9000001,Sand,,,"very clayey, shelly",dark yellowish brown,0.6,0.7
85,54+2/167/VE/1,GDOC,2.20694,54.07657,2.2055174,54.075817,75,2.9000001,Clay,,very stiff,"plastic,  (>200 kPa)",olive grey,0.7,2.9
86,54+2/166/VE/1,GDOC,,54.08357,2.2091772,54.0828173,71,0.5,Sand,very fine to fine,,very muddy,dark olive grey,0,0.1
86,54+2/166/VE/1,GDOC,2.2106,54.08357,2.2091772,54.0828173,71,0.5,Gravel,,,clayey,grey,0.1,0.5
87,54+2/42/VE/1,GDOC,,54.08833,2.2119071,54.0875775,71,1.5,Sand,very fine,,muddy,dark greenish grey,0,1.48
88,54+2/199/CS/1,GDOC,,54.0615,2.2394087,54.0607469,75,0.6,Sand,fine to medium,,muddy,greyish brown,0,0.5
88,54+2/199/CS/1,GDOC,2.24083,54.0615,2.2394087,54.0607469,75,0.6,Gravel,,,shelly,olive brown,0.5,0.63
89,54+2/168/VE/1,GDOC,,54.09697,2.2695283,54.0962184,67,3.4000001,Sand,very fine,,"very silty, very muddy",dark olive grey,0,3.3
89,54+2/168/VE/1,GDOC,2.27095,54.09697,2.2695283,54.0962184,67,3.4000001,Gravel,,,"shelly, muddy",,3.3,3.4
90,54+2/184/VE/1,GDOC,,54.1487,2.0334507,54.1479474,20,0.7,Sand,fine to medium,,,yellowish brown to dark greyish brown,0,0.65
